content_hash_id,client_hash_id,model_score,confidence,suggested_action,reason_codes,impressions_feature_window,avg_position_feature_window,ctr_feature_window,days_with_any_row,is_declining
content_69ca2dbaf02b0c98,client_2094c6eb080311d5,0.7301013284991575,low,monitor,['model_decline_risk'],4.0,9.25,0.25,59,0
content_dce494f6c1c507f9,client_f623b01661d4bfe4,0.7292075407302377,low,monitor,['model_decline_risk'],5.0,5.75,0.2,59,1
content_46fae320183a98da,client_f623b01661d4bfe4,0.7290544875770077,low,monitor,['model_decline_risk'],6.0,3.3,0.16666666666666666,59,0
content_4e60a26fd766cb92,client_f623b01661d4bfe4,0.7287707010709349,low,monitor,['model_decline_risk'],18.0,6.172727272727273,0.2222222222222222,59,1
content_fec55986a1868d62,client_73cda7b4e4f265ea,0.7281111787219484,low,monitor,"['model_decline_risk', 'visible_model_opportunity']",318029.0,6.755773202497164,3.1443673375698443e-06,59,1
content_dca774682282de78,client_f623b01661d4bfe4,0.7274154262377173,low,monitor,['model_decline_risk'],8.0,7.083333333333334,0.375,45,1
content_b029e9f500af2a42,client_f623b01661d4bfe4,0.7257215190121311,low,monitor,['model_decline_risk'],4.0,10.5,0.25,59,1
content_56ac99f56880143c,client_2094c6eb080311d5,0.7234145399448885,low,monitor,['model_decline_risk'],7.0,3.2,0.14285714285714285,59,1
content_c8bd5ed697b68a69,client_f623b01661d4bfe4,0.723384116174174,low,monitor,['model_decline_risk'],8.0,1.85,0.125,59,1
content_70f5865087022500,client_f623b01661d4bfe4,0.7216379759978712,low,monitor,['model_decline_risk'],3.0,18.0,0.3333333333333333,59,1
content_c35a5242c693f3ed,client_f623b01661d4bfe4,0.72007446249009,low,monitor,['model_decline_risk'],6.0,6.0,0.16666666666666666,59,1
content_68b1d1159f9a85ae,client_f623b01661d4bfe4,0.7198458090653057,low,monitor,['model_decline_risk'],6.0,6.0,0.16666666666666666,59,0
content_9c057b66c30a3abb,client_73cda7b4e4f265ea,0.7189555819432196,low,monitor,"['model_decline_risk', 'visible_model_opportunity']",279482.0,7.063270948381167,7.1560959203097155e-06,59,1
content_07b43533d52e697f,client_f623b01661d4bfe4,0.7185679804637746,low,monitor,['model_decline_risk'],12.0,6.166666666666667,0.3333333333333333,45,1
content_f03f9eef1e1dde1a,client_f623b01661d4bfe4,0.717671042797225,low,monitor,['model_decline_risk'],5.0,9.125,0.2,59,1
content_f8097c4a1fbed7e7,client_f623b01661d4bfe4,0.7163870825810256,low,monitor,['model_decline_risk'],6.0,7.0,0.16666666666666666,59,0
content_0ff03389000f01d1,client_f623b01661d4bfe4,0.7158599031833432,low,monitor,['model_decline_risk'],5.0,9.625,0.2,59,0
content_9761795d2f1672b6,client_f623b01661d4bfe4,0.7126479432845023,low,monitor,['model_decline_risk'],17.0,0.0,0.058823529411764705,59,0
content_fde92527745143ef,client_f623b01661d4bfe4,0.7117355546456894,low,monitor,['model_decline_risk'],6.0,8.333333333333334,0.16666666666666666,59,1
content_bc90d62c6d802282,client_f623b01661d4bfe4,0.7116842783957784,low,monitor,['model_decline_risk'],26.0,6.0625,0.15384615384615385,59,1
content_f3388c6bcef0fa5b,client_73cda7b4e4f265ea,0.7109595842956062,low,monitor,['model_decline_risk'],7.0,6.75,0.14285714285714285,59,0
content_8d434a68a6a804aa,client_f623b01661d4bfe4,0.7103800869422016,low,monitor,['model_decline_risk'],8.0,5.666666666666667,0.125,59,1
content_a1ba84fda35d6fb5,client_2094c6eb080311d5,0.7097449682534255,low,monitor,['model_decline_risk'],6.0,8.9,0.16666666666666666,59,1
content_313cbc403f2422ca,client_f623b01661d4bfe4,0.7087032250223195,low,monitor,['model_decline_risk'],8.0,6.142857142857143,0.125,59,1
content_4cb2e757846d4f1e,client_f623b01661d4bfe4,0.7067646061524321,low,monitor,['model_decline_risk'],8.0,6.625,0.125,59,1
content_fd871f753019554e,client_2094c6eb080311d5,0.7063076292739638,low,monitor,['model_decline_risk'],9.0,5.714285714285714,0.1111111111111111,59,1
content_e93a17e20b4a9459,client_f623b01661d4bfe4,0.7053672400737533,low,monitor,['model_decline_risk'],12.0,3.9,0.08333333333333333,59,1
content_e2ac8e4e3345afb2,client_f623b01661d4bfe4,0.7045098504034772,low,monitor,['model_decline_risk'],11.0,4.708333333333334,0.09090909090909091,59,1
content_d7f25c0a6a44654b,client_73cda7b4e4f265ea,0.7042127732343635,low,monitor,['model_decline_risk'],21.0,1.5294117647058822,0.047619047619047616,59,1
content_910bad0d28839701,client_f623b01661d4bfe4,0.7040707005811659,low,monitor,['model_decline_risk'],18.0,5.872727272727272,0.1111111111111111,59,1
content_aed38bb1bd8f9049,client_73cda7b4e4f265ea,0.7032404421992584,low,monitor,['model_decline_risk'],30.0,0.7333333333333333,0.03333333333333333,59,0
content_9d0d97080c811f65,client_0fa64a184f18a4a0,0.7026498087145502,low,monitor,['model_decline_risk'],4.0,4.166666666666667,0.25,43,0
content_267561e19c62e551,client_73cda7b4e4f265ea,0.7025868753910219,low,monitor,['model_decline_risk'],8.0,7.777777777777778,0.125,59,1
content_3284a40ae7ec74b1,client_f623b01661d4bfe4,0.7024883353839821,low,monitor,['model_decline_risk'],10.0,6.066666666666666,0.1,59,1
content_e507612750607b62,client_2094c6eb080311d5,0.7022558807737759,low,monitor,['model_decline_risk'],9.0,6.875,0.1111111111111111,59,1
content_26238a75817dcc04,client_f623b01661d4bfe4,0.7016503354160649,low,monitor,['model_decline_risk'],18.0,6.595238095238096,0.1111111111111111,59,1
